uid,score
1,0
2,0
3,0
4,3.2484375
5,4.878937748
6,5.002018989
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,3.974950555
18,0
19,4.974714331
20,5.39445106
21,0
22,0
23,3.640932157
24,0
25,0
26,1.14063682
27,0.539336422
28,0.400050533
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,5.060422768
40,0
41,0
42,0
43,5.013534927
44,0
45,4.882010234
46,0
47,0.420398003
48,0
49,0
50,0
51,0
52,0
53,0.924511452
54,1.135979304
55,0
56,5.023513836
57,4.020764061
58,0
59,0
60,3.863030509
61,0.608093785
62,0
63,0
64,3.254785272
65,0
66,0
67,0
68,5.305229819
69,2.084654496
70,5.074011276
71,3.771278595
72,4.177707139
73,4.633707267
74,0
75,0
76,0
77,0.506118483
78,0
79,3.394519518
80,4.273058472
81,4.832497993
82,0
83,1.355927093
84,0
85,1.527884633
86,0
87,5.521350327
88,0
89,3.280512294
90,0
91,0
92,4.913616373
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,5.626307689
101,0
102,0
103,0.761406982
104,4.109953017
105,0
106,0
107,1.869659568
108,0
109,0.98937364
110,0
111,0
112,0.880512575
113,0
114,0
115,6.149305281
116,6.300429131
117,5.175291444
118,1.680877144
119,0
120,0
121,6.390521677
122,0
123,0
124,0
125,0.163991322
126,5.166985791
127,1.2569947
128,0
129,0
130,0
131,0
132,0
133,5.494129219
134,0.453411104
135,0
136,0
137,0
138,6.061552289
139,6.370301184
140,0
141,0
142,6.254394525
143,0
144,0.505163058
145,0.893149865
146,0
147,0.715043424
148,0.684781088
149,0
150,5.101031939
151,0
152,0
153,0.643458594
154,0
155,0
156,0
157,1.87546791
158,0.617659427
159,5.701093866
160,0
161,0
162,0
163,3.707878959
164,0.251798106
165,0
166,0
167,0
168,0
169,0
170,4.731841413
171,0
172,3.50694874
173,0
174,0
175,0
176,0
177,4.584120812
178,0
179,1.354862088
180,0
181,4.256309876
182,5.907997033
183,0.78098036
184,0
185,0
186,1.933991388
187,0.38388253
188,4.777589908
189,0
190,0
191,5.493678672
192,0
193,4.369227992
194,0
195,1.211046125
196,0
197,0
198,0
199,0.17415158
200,0
